overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,meaningful_worst_year,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,selection_score
core_ge_65,core,65.0,,hold_40_greed_70,40,70.0,0.4358974358974359,66,66,0,44,0.6666666666666666,0.05441669220151585,0.040100976543961275,359.15016853000463,0.0,359.15016853000463,2,0.4358974358974359,0.28205128205128205,0.4337580192042251
core_ge_40,core,40.0,,hold_20_greed_80,20,80.0,0.5084745762711864,229,229,0,126,0.5502183406113537,0.014666877426923993,0.006688963210702337,335.87149307655943,0.0,335.87149307655943,3,0.0,0.26719477771043654,0.43367149388625087
core_ge_50,core,50.0,,hold_20_greed_off,20,,0.4782608695652174,180,180,0,101,0.5611111111111111,0.015431161617163087,0.006364326299052592,277.76090910893555,0.0,277.76090910893555,3,0.0,0.2819400756426354,0.43359727034321816
core_ge_45,core,45.0,,hold_60_greed_80,60,80.0,0.5277777777777778,207,207,0,111,0.5362318840579711,0.027202333530662082,0.016064257028112205,563.0883040847051,0.0,563.0883040847051,3,0.0,0.2573716002273105,0.4334934640601329
core_ge_50,core,50.0,,hold_120_greed_80,120,80.0,0.5108695652173914,180,180,0,97,0.5388888888888889,0.033061958067401934,0.02360178742158303,595.1152452132349,0.0,595.1152452132349,3,0.0,0.26097976292752173,0.43346198770970185
baseline,baseline,0.0,,hold_90_greed_60,90,60.0,0.5,287,287,0,158,0.5505226480836237,0.014904470890400208,0.004680187207488196,427.758314554486,0.0,427.758314554486,3,0.0,0.2675836805661487,0.43258074731912005
baseline,baseline,0.0,,hold_120_greed_60,120,60.0,0.5,287,287,0,158,0.5505226480836237,0.014904470890400208,0.004680187207488196,427.758314554486,0.0,427.758314554486,3,0.0,0.2675836805661487,0.43258074731912005
baseline,baseline,0.0,,hold_60_greed_60,60,60.0,0.5,287,287,0,158,0.5505226480836237,0.014637307259830715,0.004680187207488196,420.0907183571415,0.0,420.0907183571415,3,0.0,0.2675836805661487,0.43251395641147766
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_40_greed_off,40,,0.5,99,99,0,61,0.6161616161616161,0.024905284281704153,0.015302218821729108,246.5623143888711,0.0,246.5623143888711,3,0.0,0.28636573474956944,0.43239787037126853
recovery_peak_55_change_le_0p0,recovery,55.0,0.0,hold_40_greed_80,40,80.0,0.6363636363636364,75,75,0,45,0.6,0.034285614087059386,0.016521739130434865,257.1421056529454,0.0,257.1421056529454,3,0.0,0.27356772856466344,0.43214053069113717
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_120_greed_80,120,80.0,0.5774647887323944,99,99,0,57,0.5757575757575758,0.0563840501812267,0.04208885424785658,558.2020967941444,0.0,558.2020967941444,3,0.0,0.28158316717587173,0.432067865359884
baseline,baseline,0.0,,hold_40_greed_60,40,60.0,0.5,287,287,0,158,0.5505226480836237,0.011805707650874589,0.004680187207488196,338.8238095801007,0.0,338.8238095801007,3,0.0,0.2675836805661487,0.4318060565092386
core_ge_60,core,60.0,,hold_60_greed_80,60,80.0,0.5344827586206896,113,113,0,66,0.584070796460177,0.02879251230858474,0.022336769759450092,325.35538908700755,0.0,325.35538908700755,3,0.0,0.2901939401432547,0.4315237582222111
core_ge_55,core,55.0,,hold_60_greed_60,60,60.0,0.4189189189189189,144,144,0,85,0.5902777777777778,0.015027448312269185,0.012690099072379724,216.39525569667626,0.0,216.39525569667626,3,0.0,0.329121658867283,0.4314038560954113
core_ge_55,core,55.0,,hold_90_greed_60,90,60.0,0.4189189189189189,144,144,0,85,0.5902777777777778,0.015027448312269185,0.012690099072379724,216.39525569667626,0.0,216.39525569667626,3,0.0,0.329121658867283,0.4314038560954113
core_ge_55,core,55.0,,hold_120_greed_60,120,60.0,0.4189189189189189,144,144,0,85,0.5902777777777778,0.015027448312269185,0.012690099072379724,216.39525569667626,0.0,216.39525569667626,3,0.0,0.329121658867283,0.4314038560954113
core_ge_55,core,55.0,,hold_40_greed_60,40,60.0,0.4189189189189189,144,144,0,85,0.5902777777777778,0.014025962953096022,0.012690099072379724,201.97386652458272,0.0,201.97386652458272,3,0.0,0.329121658867283,0.4311534847556181
core_ge_50,core,50.0,,hold_20_greed_80,20,80.0,0.4782608695652174,180,180,0,100,0.5555555555555556,0.015343027635087452,0.006364326299052592,276.17449743157414,0.0,276.17449743157414,3,0.0,0.27796578054675725,0.43111540267759163
recovery_peak_60_change_le_2p5,recovery,60.0,2.5,hold_120_greed_80,120,80.0,0.609375,72,72,0,42,0.5833333333333334,0.09118724693749657,0.05721057729961454,656.5481779499753,0.0,656.5481779499753,3,0.0,0.2850781142950121,0.4310634792574399
core_ge_50,core,50.0,,hold_20_greed_60,20,60.0,0.45652173913043476,180,180,0,102,0.5666666666666667,0.009915378077106986,0.004676542201874967,178.47680538792576,0.0,178.47680538792576,3,0.0,0.29228272275933986,0.43090782090142815
enhanced_ge_35,enhanced,35.0,,hold_20_greed_60,20,60.0,0.48120300751879697,229,229,0,128,0.5589519650655022,0.008501746823896605,0.004672897196261738,194.69000226723225,0.0,194.69000226723225,3,0.0,0.28828482768863606,0.4307190841514538
enhanced_ge_50,enhanced,50.0,,hold_40_greed_80,40,80.0,0.6075949367088608,91,91,0,53,0.5824175824175825,0.0340428473303064,0.016521739130434865,309.78991070578826,0.0,309.78991070578826,3,0.0,0.27497912640249333,0.42952708010216417
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_20_greed_60,20,60.0,0.5774647887323944,99,99,0,59,0.5959595959595959,0.009567846785883257,0.007438016528925617,94.72168318024424,0.0,94.72168318024424,3,0.0,0.3029382803945671,0.42875641555456256
core_ge_45,core,45.0,,hold_20_greed_80,20,80.0,0.49074074074074076,207,207,0,113,0.5458937198067633,0.014507199170130033,0.006039689387402847,300.2990228216917,0.0,300.2990228216917,3,0.0,0.2686337910654197,0.4286940675217917
recovery_peak_55_change_le_2p5,recovery,55.0,2.5,hold_120_greed_off,120,,0.5714285714285714,86,86,0,48,0.5581395348837209,0.06974508552016512,0.03907410862290128,599.8077354734199,0.0,599.8077354734199,3,0.3333333333333333,0.1401866804179023,0.4283387234360886
qvix_ge_40,qvix,40.0,,hold_90_greed_60,90,60.0,0.6229508196721312,68,68,0,41,0.6029411764705882,0.056278912646520844,0.013425808897876812,382.69660599634176,0.0,382.69660599634176,3,0.0,0.3277379064557808,0.42809724016461487
qvix_ge_40,qvix,40.0,,hold_120_greed_60,120,60.0,0.6229508196721312,68,68,0,41,0.6029411764705882,0.056278912646520844,0.013425808897876812,382.69660599634176,0.0,382.69660599634176,3,0.0,0.3277379064557808,0.42809724016461487
qvix_ge_40,qvix,40.0,,hold_60_greed_60,60,60.0,0.6229508196721312,68,68,0,41,0.6029411764705882,0.056136826826685665,0.013425808897876812,381.7304224214625,0.0,381.7304224214625,3,0.0,0.3277379064557808,0.4280617187096561
recovery_peak_55_change_le_m2p5,recovery,55.0,-2.5,hold_120_greed_80,120,80.0,0.6140350877192983,65,65,0,38,0.5846153846153846,0.08645435665189381,0.06010016694490816,561.9533182373098,0.0,561.9533182373098,3,0.0,0.2666756436367334,0.4280258264709552
