window,recent_weight,category,test_year,strategy_id,train_years,train_count,train_avg_return,train_win_rate,train_compound_return,train_vol,train_downside_vol,train_mdd,train_max_loss,train_calendar_compound,train_broad_compound,train_excess_compound,train_excess_avg_annual,train_excess_vol_annual,score_profit_first,score_compound,score_avg_return,score_win_rate,score_sharpe_trade,score_sortino_trade,score_calmar_trade,score_excess_compound_calendar,score_excess_avg_calendar,score_sharpe_excess_calendar,score_composite_risk,score_drawdown_guard,selected_score,score_func
5y,none,军工/基建/交通/央企,2020,PBS_b25_s90_00000,2015/2016/2017/2018/2019,7,0.02127907557066257,0.5714285714285714,0.12909078596014179,0.0887638027362235,0.07009614694068443,0.11971026055571221,-0.1197102605557122,0.12909078596014179,0.25187289490720643,-0.12278210894706465,-0.04104447048789735,0.29528957492912733,0.270162118575319,0.12909078596014179,0.02127907557066257,0.5714285714285714,0.23972694853618629,0.30356983228144363,1.0783602454777514,-0.12278210894706465,-0.04104447048789735,-0.13899735707774127,0.18076807638605596,0.12366623969014386,0.30356983228144363,sortino_trade
5y,none,周期资源/公用事业,2020,PBS_b25_s90_00128,2015/2016/2017/2018/2019,10,0.04568286740794066,0.7,0.5204064764051184,0.07783626064844339,0.05441404023293133,0.09696674086744417,-0.0930627316019993,0.5204064764051193,0.25187289490720643,0.26853358149791284,0.018486675018689103,0.17440221918494475,0.5679267532510117,0.5204064764051184,0.04568286740794066,0.7,0.5869098415927994,0.8395419125568604,5.36685539540985,0.26853358149791284,0.018486675018689103,0.10600022812197657,0.40318357529929666,0.5634397355376742,0.8395419125568604,sortino_trade
5y,none,宽基/风格指数,2020,PBS_b25_s90_00171,2015/2016/2017/2018/2019,3,0.038079859396187264,0.6666666666666666,0.10577870024846625,0.09169097628781946,0.0639389761950284,0.06393897619502842,-0.0639389761950284,0.10577870024846625,0.25187289490720643,-0.14609419465874018,-0.047741073313263646,0.18973903749540652,0.301547079545267,0.10577870024846625,0.038079859396187264,0.6666666666666666,0.4153065103837335,0.5955656731105526,1.6543696277551079,-0.14609419465874018,-0.047741073313263646,-0.2516143959788339,0.1983249694963209,0.17517305738677116,0.5955656731105526,sortino_trade
5y,none,军工/基建/交通/央企,2021,PBS_b25_s90_00000,2016/2017/2018/2019/2020,12,0.04294884312848806,0.75,0.5967220832291602,0.08145809949217435,0.07009614694068443,0.11971026055571221,-0.1197102605557122,0.5967220832291602,0.1383733230186861,0.4583487602104741,0.06476257082938972,0.2901137277769266,0.6259820930659842,0.5967220832291602,0.04294884312848806,0.75,0.5272507386707063,0.6127133230906227,4.984719609280824,0.4583487602104741,0.06476257082938972,0.22323166616563395,0.45700642556342885,0.627011822673448,0.6127133230906227,sortino_trade
5y,none,周期资源/公用事业,2021,PBS_b25_s90_00119,2016/2017/2018/2019/2020,12,0.047120707352101554,0.6666666666666666,0.6687030028234304,0.08694895134673665,0.05174389153768208,0.0993353072806914,-0.0930627316019993,0.6687030028234306,0.1383733230186861,0.5303296798047445,0.06439054600884776,0.16713107547010916,0.6483425090461599,0.6687030028234304,0.047120707352101554,0.6666666666666666,0.541935315167296,0.9106525611216469,6.7317756507980295,0.5303296798047445,0.06439054600884776,0.3852697400967693,0.4705275964109108,0.7027010288760723,0.9106525611216469,sortino_trade
5y,none,宽基/风格指数,2021,PBS_b25_s90_00171,2016/2017/2018/2019/2020,4,0.033513988865356475,0.75,0.13181599704665037,0.06486467623097752,0.0639389761950284,-0.0,-0.0639389761950284,0.13181599704665015,0.1383733230186861,-0.0065573259720359545,-0.01931197871960292,0.18914320092105355,0.3376035870933467,0.13181599704665037,0.033513988865356475,0.75,0.5166754975466057,0.5241558570254087,131815997046.65038,-0.0065573259720359545,-0.01931197871960292,-0.10210242094592362,0.24295480292707208,0.2818159970466504,0.5241558570254087,sortino_trade
5y,none,金融/地产,2021,PBS_b25_s90_00315,2016/2017/2018/2019/2020,3,0.11269791450803844,0.6666666666666666,0.34290220515835035,0.14633646370750364,0.0479075862809978,-0.0,-0.0479075862809978,0.34290220515835035,0.1383733230186861,0.20452888213966425,0.019237317657259456,0.20234447104542508,0.5184392376030487,0.34290220515835035,0.11269791450803844,0.6666666666666666,0.770128726989933,2.3524022655757726,342902205158.35034,0.20452888213966425,0.019237317657259456,0.09507211913314757,0.3248201225193762,0.47623553849168365,2.3524022655757726,sortino_trade
5y,none,军工/基建/交通/央企,2022,PBS_b25_s90_00000,2017/2018/2019/2020/2021,15,0.04306615994179438,0.7333333333333333,0.7814486397791514,0.08908076356811095,0.07841117292403912,0.09926146638804101,-0.1197102605557122,0.7814486397791514,0.28911850598124844,0.4923301337979029,0.06393172605508882,0.29002405877521586,0.7319353438092852,0.7814486397791514,0.04306615994179438,0.7333333333333333,0.48345072736587663,0.5492349920969236,7.872628404625577,0.4923301337979029,0.06393172605508882,0.22043594012460493,0.5378454198061651,0.828853840057777,0.5492349920969236,sortino_trade
5y,none,周期资源/公用事业,2022,PBS_b25_s90_00117,2017/2018/2019/2020/2021,17,0.0760203578476825,0.7647058823529411,2.170015988752844,0.11325355755822965,0.06800647823844679,0.09769587218129927,-0.0976958721812993,2.170015988752844,0.28911850598124844,1.8808974827715954,0.24100728825494477,0.461833406595277,1.607441715805271,2.170015988752844,0.0760203578476825,0.7647058823529411,0.6712403520562713,1.1178399443067661,22.211951644217077,1.8808974827715954,0.24100728825494477,0.5218489715397033,1.2061155359598743,2.225261293042133,1.1178399443067661,sortino_trade
5y,none,宽基/风格指数,2022,PBS_b25_s90_00171,2017/2018/2019/2020/2021,4,0.031388857332226704,0.75,0.12153778738357723,0.06808212329784144,0.0724395023275475,0.07243950232754748,-0.0724395023275475,0.12153778738357723,0.28911850598124844,-0.1675807185976712,-0.045486394871706554,0.1920384193335246,0.329311529762373,0.12153778738357723,0.031388857332226704,0.75,0.4610440422730007,0.4333113332262188,1.6777833016072605,-0.1675807185976712,-0.045486394871706554,-0.23686091058930633,0.22585077511551369,0.19909828505602978,0.4333113332262188,sortino_trade
5y,none,科技/TMT,2022,PBS_b25_s90_00288,2017/2018/2019/2020/2021,3,0.0738692263916352,1.0,0.23793017666151717,0.016785793342141142,0.0,-0.0,0.0608404010897425,0.23793017666151717,0.28911850598124844,-0.051188329319731274,-0.02653473324864805,0.19101822979608535,0.5166273323885455,0.23793017666151717,0.0738692263916352,1.0,4.4006991437088665,73869226391.63521,237930176661.51718,-0.051188329319731274,-0.02653473324864805,-0.13891204665039217,0.35176163284795314,0.4379301766615172,73869226391.63521,sortino_trade
5y,none,金融/地产,2022,PBS_b25_s90_00351,2017/2018/2019/2020/2021,3,0.13358597338173014,1.0,0.4319064896822975,0.12353955643893189,0.0,-0.0,0.0230740544650367,0.4319064896822975,0.28911850598124844,0.14278798370104906,0.008062075374388728,0.19554578867636205,0.6927298671911086,0.4319064896822975,0.13358597338173014,1.0,1.0813214587400843,133585973381.73015,431906489682.2975,0.14278798370104906,0.008062075374388728,0.041228580931960815,0.44597033543191167,0.6319064896822975,133585973381.73015,sortino_trade
5y,none,军工/基建/交通/央企,2023,PBS_b25_s90_00000,2018/2019/2020/2021/2022,20,0.06014869905612623,0.75,1.8772143066217981,0.11290036063247796,0.08986478915494124,0.22816309415350433,-0.1400955833677984,1.8772143066217986,-0.04903335067118775,1.9262476572929863,0.23325094489555803,0.28517259643945364,1.411477283029205,1.8772143066217981,0.06014869905612623,0.75,0.5327591401713426,0.6693244330852537,8.227510735590796,1.9262476572929863,0.23325094489555803,0.8179290289705755,1.0560803175435702,1.7990512124682936,0.6693244330852537,sortino_trade
5y,none,周期资源/公用事业,2023,PBS_b25_s90_00118,2018/2019/2020/2021/2022,22,0.05547186915282456,0.5909090909090909,1.9085179969966046,0.11004814719220973,0.07101348875067677,0.2575154741471405,-0.1418615995638734,1.9085179969966046,-0.04903335067118775,1.9575513476677924,0.26568469642480474,0.337102134944583,1.3778553946235146,1.9085179969966046,0.05547186915282456,0.5909090909090909,0.5040690876460964,0.7811455278137529,7.411275005162194,1.9575513476677924,0.26568469642480474,0.7881430251626651,1.0339457632459919,1.7691843410312824,0.7811455278137529,sortino_trade
5y,none,宽基/风格指数,2023,PBS_b25_s90_00171,2018/2019/2020/2021/2022,4,-2.9593993040172295e-07,0.5,-0.016548541095466995,0.09121588549661848,0.09065869126594422,0.17056170387941616,-0.1057852310421678,-0.016548541095466995,-0.04903335067118775,0.03248480957572075,-0.009571407219876643,0.18708409681831117,0.1400705794027894,-0.016548541095466995,-2.9593993040172295e-07,0.5,-3.244390259298086e-06,-3.2643304934805288e-06,-0.09702377918943324,0.03248480957572075,-0.009571407219876643,-0.051160987933254756,0.0985827046751229,-0.08711024497488315,-3.2643304934805288e-06,sortino_trade
5y,none,新能源/高端制造,2023,PBS_b25_s90_00191,2018/2019/2020/2021/2022,11,0.04911614744639494,0.45454545454545453,0.3506161432908579,0.2213213598760869,0.12730644925816154,0.49226036786437477,-0.1671758573311735,0.3506161432908581,-0.04903335067118775,0.39964949396204585,0.059060030273077865,0.2861158073527661,0.395849469784546,0.3506161432908579,0.04911614744639494,0.45454545454545453,0.2219223100457728,0.38581036335722263,0.7122575087880033,0.39964949396204585,0.059060030273077865,0.20642001859077105,0.23399959738542778,-0.050735133664425974,0.38581036335722263,sortino_trade
5y,none,消费/农业/传媒,2023,PBS_b25_s90_00254,2018/2019/2020/2021/2022,7,0.02276586131151806,0.5714285714285714,0.13991267253438133,0.0881783605883871,0.08124123003266363,0.09962379251545139,-0.1082862722609663,0.13991267253438155,-0.04903335067118775,0.1889460232055693,0.03206717424501011,0.2847970928485416,0.2781420362607182,0.13991267253438133,0.02276586131151806,0.5714285714285714,0.2581796844412879,0.2802254631310315,1.4044102216975611,0.1889460232055693,0.03206717424501011,0.11259656453709384,0.20226890109507134,0.1545745943046442,0.2802254631310315,sortino_trade
5y,none,科技/TMT,2023,PBS_b25_s90_00290,2018/2019/2020/2021/2022,4,0.01671932800684868,0.75,0.04638478592369766,0.10004826235256702,0.1547303671475109,0.15473036714751087,-0.1547303671475109,0.04638478592369766,-0.04903335067118775,0.0954181365948854,0.0035455035914053927,0.17855861066675333,0.26955019956106724,0.04638478592369766,0.01671932800684868,0.75,0.16711262758130838,0.10805460049610942,0.2997781675214235,0.0954181365948854,0.0035455035914053927,0.019856245398339058,0.19360921766919395,0.04165441877618681,0.10805460049610942,sortino_trade
5y,none,金融/地产,2023,PBS_b25_s90_00351,2018/2019/2020/2021/2022,4,0.14694184754478512,1.0,0.7039351076544724,0.10194032142231382,0.0,-0.0,0.0230740544650367,0.7039351076544722,-0.04903335067118775,0.75296845832566,0.10980614799490976,0.24365691283386673,0.8693029121374686,0.7039351076544724,0.14694184754478512,1.0,1.4414497177677077,146941847544.78513,703935107654.4724,0.75296845832566,0.10980614799490976,0.45065886585097026,0.5887320280434946,0.9039351076544724,146941847544.78513,sortino_trade
5y,none,军工/基建/交通/央企,2024,PBS_b25_s90_00000,2019/2020/2021/2022/2023,25,0.03196996084032478,0.64,0.9338147791409506,0.10654162927056378,0.0806986383351031,0.23481056477544626,-0.1400955833677984,0.9338147791409503,0.21912669935174756,0.7146880797892028,0.1143170843679776,0.2817958721798606,0.784258828324895,0.9338147791409506,0.03196996084032478,0.64,0.3000701327631906,0.39616481144542437,3.9768857079748443,0.7146880797892028,0.1143170843679776,0.4056733815270626,0.5795990110094786,0.8270042143655043,0.39616481144542437,sortino_trade
5y,none,周期资源/公用事业,2024,PBS_b25_s90_00091,2019/2020/2021/2022/2023,15,0.05277699709897374,0.6,1.019120130702066,0.10084476901022633,0.06321452561400692,0.20152954426603065,-0.0989520405777999,1.019120130702067,0.21912669935174756,0.7999934313503194,0.12148680660605257,0.21936287900464885,0.8442490755202134,1.019120130702066,0.05277699709897374,0.6,0.5233488818155599,0.8348871811583229,5.05692668739285,0.7999934313503194,0.12148680660605257,0.5538166127137862,0.6127484657105372,0.9375905864360354,0.8348871811583229,sortino_trade
5y,none,宽基/风格指数,2024,PBS_b25_s90_00171,2019/2020/2021/2022/2023,4,-2.9593993040172295e-07,0.5,-0.016548541095466995,0.09121588549661848,0.09065869126594422,0.17056170387941616,-0.1057852310421678,-0.016548541095466995,0.21912669935174756,-0.23567524044721455,-0.05003400057709666,0.13382752023126812,0.1400705794027894,-0.016548541095466995,-2.9593993040172295e-07,0.5,-3.244390259298086e-06,-3.2643304934805288e-06,-0.09702377918943324,-0.23567524044721455,-0.05003400057709666,-0.3738692945237178,0.09049018600367889,-0.08711024497488315,-3.2643304934805288e-06,sortino_trade
5y,none,新能源/高端制造,2024,PBS_b25_s90_00191,2019/2020/2021/2022/2023,11,0.04911614744639494,0.45454545454545453,0.3506161432908579,0.2213213598760869,0.12730644925816154,0.49226036786437477,-0.1671758573311735,0.3506161432908581,0.21912669935174756,0.13148944393911055,0.018597436915857846,0.2651897679014977,0.395849469784546,0.3506161432908579,0.04911614744639494,0.45454545454545453,0.2219223100457728,0.38581036335722263,0.7122575087880033,0.13148944393911055,0.018597436915857846,0.0701287876336751,0.22590707871398377,-0.050735133664425974,0.38581036335722263,sortino_trade
5y,none,消费/农业/传媒,2024,PBS_b25_s90_00243,2019/2020/2021/2022/2023,5,0.0625184210707693,0.8,0.3489263747849136,0.041511970605587645,0.0115375253640079,-0.0,-0.0115375253640079,0.3489263747849136,0.21912669935174756,0.12979967543316606,0.01825948321466895,0.2645859942025676,0.5118742459417175,0.3489263747849136,0.0625184210707693,0.8,1.5060335647098402,5.418702806095758,348926374784.91364,0.12979967543316606,0.01825948321466895,0.06901152598659639,0.36066876529614494,0.5089263747849136,5.418702806095758,sortino_trade
5y,none,科技/TMT,2024,PBS_b25_s90_00290,2019/2020/2021/2022/2023,4,0.01671932800684868,0.75,0.04638478592369766,0.10004826235256702,0.1547303671475109,0.15473036714751087,-0.1547303671475109,0.04638478592369766,0.21912669935174756,-0.1727419134280499,-0.03691708976581463,0.12591271496035697,0.26955019956106724,0.04638478592369766,0.01671932800684868,0.75,0.16711262758130838,0.10805460049610942,0.2997781675214235,-0.1727419134280499,-0.03691708976581463,-0.2931958839672753,0.18551669899774995,0.04165441877618681,0.10805460049610942,sortino_trade
5y,none,金融/地产,2024,PBS_b25_s90_00351,2019/2020/2021/2022/2023,5,0.14099349591460525,1.0,0.9036364545929572,0.09195104596366904,0.0,-0.0,0.0230740544650367,0.9036364545929567,0.21912669935174756,0.6845097552412092,0.09278357251646689,0.23376667392992337,0.9831753686703795,0.9036364545929572,0.14099349591460525,1.0,1.5333539106100011,140993495914.60526,903636454592.9572,0.6845097552412092,0.09278357251646689,0.39690675730743324,0.675193119070124,1.1036364545929571,140993495914.60526,sortino_trade
5y,none,军工/基建/交通/央企,2025,PBS_b25_s90_00009,2020/2021/2022/2023/2024,28,0.05813008209168939,0.7142857142857143,3.0921733257385027,0.11894140648587465,0.08581726750402321,0.23481056477544637,-0.1400955833677984,3.0921733257385027,0.07024416755732465,3.021929158181178,0.37976402809102894,0.42106510363161176,2.127719791820505,3.0921733257385027,0.05813008209168939,0.7142857142857143,0.48872872625820285,0.6773704614667067,13.168799830971983,3.021929158181178,0.37976402809102894,0.9019128510406816,1.622521174294416,3.000219903820199,0.6773704614667067,sortino_trade
5y,none,医药医疗,2025,PBS_b25_s90_00045,2020/2021/2022/2023/2024,4,0.0981472091570074,1.0,0.4346072508044332,0.09057168353550835,0.0,-0.0,0.0012495850664853,0.43460725080443297,0.07024416755732465,0.3643630832471083,0.058288000416007665,0.1793887145883744,0.6589115596396672,0.4346072508044332,0.0981472091570074,1.0,1.083641214612572,98147209157.00742,434607250804.43317,0.3643630832471083,0.058288000416007665,0.3249256819161142,0.4572308629451965,0.6346072508044331,98147209157.00742,sortino_trade
5y,none,周期资源/公用事业,2025,PBS_b25_s90_00117,2020/2021/2022/2023/2024,28,0.04791236317615456,0.4642857142857143,2.0832018589672683,0.12428927089190185,0.05479152812622843,0.2899504368868906,-0.1418615995638734,2.083201858967268,0.07024416755732465,2.012957691409943,0.3012053684542122,0.40244522947731853,1.4371191928422298,2.0832018589672683,0.04791236317615456,0.4642857142857143,0.3854907413322901,0.874448383058415,7.184682600677505,2.012957691409943,0.3012053684542122,0.7484381634853978,1.0847582951088528,1.8861085649375204,0.874448383058415,sortino_trade
5y,none,宽基/风格指数,2025,PBS_b25_s90_00171,2020/2021/2022/2023/2024,5,0.008772542416562138,0.6,0.026589471264107933,0.08345130906619956,0.09065869126594422,0.17056170387941616,-0.1057852310421678,0.026589471264107933,0.07024416755732465,-0.04365469629321672,-0.009969345979339055,0.07622177591532382,0.2047262251750269,0.026589471264107933,0.008772542416562138,0.6,0.10512168730029156,0.09676449432444834,0.15589356027276957,-0.04365469629321672,-0.009969345979339055,-0.1307939346661693,0.14291522248503916,-0.02397223261530823,0.09676449432444834,sortino_trade
5y,none,新能源/高端制造,2025,PBS_b25_s90_00216,2020/2021/2022/2023/2024,6,0.1252543198445333,0.5,0.7881035494537489,0.2279878612294475,0.11148196170014436,0.12644934651144435,-0.1639708421951972,0.7881035494537489,0.07024416755732465,0.7178593818964243,0.1747329646708267,0.4261341812875407,0.7481164495167826,0.7881035494537489,0.1252543198445333,0.5,0.5493903016087671,1.12353889304809,6.232563245205768,0.7178593818964243,0.1747329646708267,0.4100421236861843,0.5019482555372079,0.7616542029423046,1.12353889304809,sortino_trade
5y,none,消费/农业/传媒,2025,PBS_b25_s90_00250,2020/2021/2022/2023/2024,11,0.10753359850181586,0.8181818181818182,1.9440554673679862,0.10168039280085009,0.023218308131431158,0.030741912325797816,-0.0307419123257978,1.9440554673679875,0.07024416755732465,1.8738112998106629,0.2860548657886176,0.44327379250220744,1.5194214243771529,1.9440554673679862,0.10753359850181586,0.8181818181818182,1.0575647431985458,4.631414050001935,63.237948462735915,1.8738112998106629,0.2860548657886176,0.6453232079732026,1.133507196786192,2.076949918678552,4.631414050001935,sortino_trade
5y,none,科技/TMT,2025,PBS_b25_s90_00272,2020/2021/2022/2023/2024,3,0.10177823828937177,0.6666666666666666,0.2546794212326926,0.22799631386996408,0.1547303671475109,0.15473036714751087,-0.1547303671475109,0.2546794212326926,0.07024416755732465,0.18443525367536795,0.04083302666056043,0.13925973895856134,0.45458589102898733,0.2546794212326926,0.10177823828937177,0.6666666666666666,0.4464029990720543,0.6577780442521962,1.6459562911025098,0.18443525367536795,0.04083302666056043,0.2932148729103797,0.27396597483873936,0.23328238741851506,0.6577780442521962,sortino_trade
5y,none,金融/地产,2025,PBS_b25_s90_00351,2020/2021/2022/2023/2024,6,0.116059147140591,0.8333333333333334,0.8872412014900104,0.1007692303670367,0.0086125967294803,0.008612596729480337,-0.0086125967294803,0.88724120149001,0.07024416755732465,0.8169970339326853,0.12235292859982194,0.18981339266073302,0.8984038680345972,0.8872412014900104,0.116059147140591,0.8333333333333334,1.151731999110357,13.475511599173496,103.01668930463526,0.8169970339326853,0.12235292859982194,0.6445958679947702,0.6312012000508544,1.0452952714271968,13.475511599173496,sortino_trade
5y,none,军工/基建/交通/央企,2026,PBS_b25_s90_00009,2021/2022/2023/2024/2025,33,0.05738570579955943,0.7575757575757576,4.303844086595914,0.10949910120787916,0.08581726750402321,0.23481056477544648,-0.1400955833677984,4.303844086595918,0.07295594918483683,4.230888137411081,0.46292560787350184,0.430560137472682,2.8669648850298346,4.303844086595914,0.05738570579955943,0.7575757575757576,0.5240746742760121,0.6686964927681998,18.329005301330575,4.230888137411081,0.46292560787350184,1.0751706151659202,2.1952278434592563,4.220548673335619,0.6686964927681998,sortino_trade
5y,none,医药医疗,2026,PBS_b25_s90_00045,2021/2022/2023/2024/2025,5,0.07929950752928928,1.0,0.44021470162668064,0.08935058653055936,0.0,-0.0,0.0012495850664853,0.4402147016266804,0.07295594918483683,0.3672587524418436,0.05848589906740782,0.1791568961574941,0.6434283285052976,0.44021470162668064,0.07929950752928928,1.0,0.8875096471949856,79299507529.28929,440214701626.68066,0.3672587524418436,0.05848589906740782,0.3264507273873918,0.4597937955454879,0.6402147016266806,79299507529.28929,sortino_trade
