source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,selected_year,selected_score,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,win,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,entry_year,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,mode,hold,next_entry_date,new_exit_date,new_ret,exit_changed,recent_high_count,decision_date,same_day_rotation_cap,selected_recent_days,selected_delay_days,selected_candidate,cash_after_new,source_type,idle_days,ma,mom,year,exit_extended,exit_state_value,control_rule
主策略,宽基/风格指数,159902,中小板ETF,2020-11-19,2021-01-22,0.157859531772575,4812.626153659872,3962.466540238462,rotate_mom_idle60_hold10_ma0_mom40,2020,0.2757952733825237,,,,,,4.485,5.193,,,,,,,,,,,,,,,,,,,,,,1000,rotate_mom,10.0,2021-01-29,2021-01-22,0.1573964805701064,True,0.0,2021-01-14,False,20.0,5.0,high_absent_w20_d5,7130.903509007147,,,,,2020,,,
主策略,周期资源/公用事业,159930,能源ETF,2021-01-29,2021-04-02,0.0753532182103611,6773.626530814795,4261.051146096306,rotate_ma_mom_idle40_hold10_ma20_mom20,2021,0.5335398649457579,,,,,,0.637,0.685,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2021-05-06,2021-04-02,0.0749231629341322,False,1.0,2021-04-01,False,20.0,5.0,high_absent_w20_d5,7665.173354480064,,,,,2021,,,
主策略,金融/地产,512880,证券ETF,2021-05-06,2021-07-02,0.0234833659491193,7281.128055037992,4361.114969488,rotate_ma_mom_idle40_hold10_ma20_mom20,2021,0.5335398649457579,,,,,,1.022,1.046,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2021-08-04,2021-07-02,0.0230740544650367,False,1.0,2021-07-01,False,20.0,5.0,high_absent_w20_d5,7842.039981945286,,,,,2021,,,
主策略,周期资源/公用事业,159930,能源ETF,2021-08-04,2021-09-08,0.3193717277486911,7449.133200346846,5753.931792204063,rotate_ma_mom_idle40_hold10_ma20_mom20,2021,0.5335398649457579,,,,,,0.764,1.008,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2021-09-29,2021-09-08,0.3188440845862241,True,0.0,2021-08-31,False,20.0,5.0,high_absent_w20_d5,10342.4280412772,,,,,2021,,,
主策略,周期资源/公用事业,512400,有色金属ETF,2021-09-29,2021-12-08,0.0742942050520059,8927.587951408945,6181.415580629327,rotate_ma_mom_idle40_hold10_ma20_mom20,2021,0.5335398649457579,,,,,,1.346,1.446,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2022-01-11,2021-12-08,0.0738645732963363,True,0.0,2021-11-30,False,20.0,5.0,high_absent_w20_d5,11106.367075394204,,,,,2021,,,
主策略,军工/基建/交通/央企,512660,军工ETF,2022-01-11,2022-03-15,-0.139751552795031,9580.390398048152,5317.553154764981,rotate_ma_mom_idle40_hold10_ma20_mom20,2022,0.8547135772494839,,,,,,1.288,1.108,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2022-03-16,2022-03-15,-0.1400955833677984,False,1.0,2022-03-14,False,15.0,8.0,high_absent_w15_d8,9550.414100869944,,,,,2022,,,
主策略,周期资源/公用事业,159611,电力ETF,2022-03-16,2022-05-30,0.0069686411149825,8238.220016342342,5354.609274310381,rotate_ma_mom_idle40_hold10_ma20_mom20,2022,0.8547135772494839,,,,,,0.861,0.867,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2022-07-13,2022-05-30,0.0065659341999195,True,0.0,2022-05-17,False,15.0,8.0,high_absent_w15_d8,9613.12149143824,,,,,2022,,,
主策略,周期资源/公用事业,159930,能源ETF,2022-07-13,2022-09-07,0.2055045871559633,8043.637921820004,6455.006042609028,rotate_ma_mom_idle40_hold10_ma20_mom20,2022,0.8547135772494839,,,,,,1.09,1.314,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2022-09-29,2022-09-07,0.2050224817421835,False,1.0,2022-09-06,False,15.0,8.0,high_absent_w15_d8,11584.027516902028,,,,,2022,,,
主策略,军工/基建/交通/央企,516970,基建ETF,2022-09-29,2022-12-13,0.111219512195122,9692.76453078708,7172.9286658845685,rotate_ma_mom_idle40_hold10_ma20_mom20,2022,0.8547135772494839,,,,,,1.025,1.139,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2022-12-30,2022-12-13,0.1107751132700289,True,0.0,2022-11-30,False,15.0,8.0,high_absent_w15_d8,12867.249477209984,,,,,2022,,,
主策略,军工/基建/交通/央企,516970,基建ETF,2022-12-30,2023-03-16,0.1761949390815369,10728.671324169163,8436.76239520631,rotate_ma_mom_idle40_hold10_ma20_mom20,2022,0.8547135772494839,,,,,,1.067,1.255,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2023-04-27,2023-03-16,0.1757245551826844,True,0.0,2023-03-03,False,15.0,8.0,high_absent_w15_d8,15128.341168017336,,,,,2022,,,
