test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,signal_date,fear_core,fear_qvix,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime,symbol_fear,buy_quality,exit_reason,exit_key,max_hold,greed_threshold,mark_date,overlay
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-08,2021-08-04,1.538,1.738,1008.0,closed,0.13003901170351106,13.003901170351106,1.18,,,2021-06-07,34.0702947845805,45.370370370370374,28.57142857142857,37.46031746031746,-6.12433862433862,46.56084656084655,62.53968253968254,贪婪,86.86435476623912,62.162336113278286,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-09,2021-08-05,1.565,1.726,1007.0,closed,0.1028753993610223,10.287539936102231,1.18,,,2021-06-08,50.34013605442177,48.28042328042328,91.7989417989418,49.722222222222214,3.161375661375665,49.722222222222214,50.277777777777786,中性,78.2179811478344,63.970101685028304,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-10,2021-08-06,1.582,1.76,1006.0,closed,0.11251580278128936,11.251580278128937,1.18,,,2021-06-09,31.50037792894936,42.592592592592595,62.16931216931217,34.82804232804233,-2.037037037037031,49.722222222222214,65.17195767195767,贪婪,76.2618597773853,55.54495105271381,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-11,2021-08-09,1.599,1.776,1005.0,closed,0.11069418386491559,11.06941838649156,1.18,,,2021-06-10,30.02645502645503,34.39153439153439,31.084656084656086,31.335978835978835,-6.124338624338627,49.722222222222214,68.66402116402116,贪婪,71.42724045792116,51.38160964695,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-15,2021-08-10,1.554,1.78,1004.0,closed,0.14543114543114544,14.543114543114545,1.18,,,2021-06-11,38.62433862433863,36.11111111111111,8.068783068783068,37.87037037037037,-11.851851851851848,49.722222222222214,62.12962962962963,贪婪,70.57304145106541,54.22170591071789,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-22,2021-08-17,1.53,1.828,999.0,closed,0.19477124183006533,19.477124183006534,1.18,,,2021-06-21,41.23204837490552,34.65608465608466,74.60317460317461,39.25925925925926,-13.055555555555543,52.3148148148148,60.74074074074074,贪婪,72.27603541791149,55.76764733858538,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-23,2021-08-18,1.541,1.842,998.0,closed,0.19532770927968857,19.532770927968855,1.18,,,2021-06-22,37.755102040816325,30.423280423280424,83.86243386243386,35.55555555555556,-4.444444444444443,52.3148148148148,64.44444444444444,贪婪,77.9332928406462,56.74442419810088,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-24,2021-08-19,1.545,1.833,997.0,closed,0.18640776699029127,18.640776699029125,1.18,,,2021-06-23,27.116402116402117,16.26984126984127,85.18518518518519,23.86243386243386,-16.613756613756614,40.476190476190474,76.13756613756614,贪婪,72.43115942028984,48.14679664136185,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-25,2021-08-20,1.583,1.857,996.0,closed,0.1730890713834492,17.30890713834492,1.18,,,2021-06-24,30.19652305366591,26.322751322751326,5.6878306878306875,29.03439153439153,-10.224867724867728,40.476190476190474,70.96560846560847,贪婪,72.89495423938087,50.9646728868862,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-28,2021-08-23,1.568,1.874,995.0,closed,0.19515306122448983,19.515306122448983,1.18,,,2021-06-25,28.571428571428566,22.883597883597883,28.174603174603174,26.86507936507936,-8.690476190476197,39.25925925925926,73.13492063492063,贪婪,70.38150807824078,48.623293721660076,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
