overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_120_greed_60,120,60.0,30,26,4,15,0.5769230769230769,0.016667837908018082,0.006056908992742582,43.33637856084701,-88.17011123342347,-44.83373267257646,3,0.0,0.40843672725694086,-inf
enhanced_ge_65,enhanced,65.0,,hold_60_greed_off,60,,32,21,11,12,0.5714285714285714,0.06717222628807111,0.03090315560391743,141.06167520494935,-253.46875517789508,-112.40707997294572,3,0.0,0.3049235888902798,-inf
enhanced_ge_65,enhanced,65.0,,hold_60_greed_80,60,80.0,32,21,11,12,0.5714285714285714,0.06663522209921056,0.03090315560391743,139.9339664083422,-253.46875517789508,-113.53478876955288,3,0.0,0.3049235888902798,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_120_greed_off,120,,30,26,4,14,0.5384615384615384,0.07088139017619317,0.04392882618689076,184.29161445810226,-88.17011123342347,96.12150322467879,3,0.42105263157894735,0.2563445473017975,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_60_greed_off,60,,30,26,4,14,0.5384615384615384,0.03774227238405814,0.0202045294580383,98.12990819855116,-88.17011123342347,9.959796965127694,3,0.0,0.331982489053049,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_60_greed_80,60,80.0,30,26,4,14,0.5384615384615384,0.03730853823151693,0.0202045294580383,97.00219940194404,-88.17011123342347,8.83208816852057,3,0.0,0.331982489053049,-inf
core_ge_70,core,70.0,,hold_60_greed_off,60,,33,26,7,14,0.5384615384615384,0.028465235130976985,0.009361080439567071,74.00961134054016,-163.27501264088883,-89.26540130034867,3,0.4444444444444444,0.24365754375405227,-inf
enhanced_ge_65,enhanced,65.0,,hold_120_greed_off,120,,32,21,11,11,0.5238095238095238,0.09457261084965134,0.010462074978204061,198.6024827842678,-253.46875517789508,-54.86627239362727,3,0.5,0.0785674201318386,-inf
enhanced_ge_70,enhanced,70.0,,hold_120_greed_off,120,,11,6,5,3,0.5,0.07344305529950897,0.0753255261205949,44.06583317970538,-128.7045905342094,-84.63875735450401,2,0.25,0.375,-inf
recovery_peak_70_change_le_m2p5,recovery,70.0,-2.5,hold_120_greed_80,120,80.0,30,26,4,13,0.5,0.05288849044927062,0.010694351363181143,137.5100751681036,-88.17011123342347,49.33996393468014,3,0.0,0.40994110335255873,-inf
enhanced_ge_70,enhanced,70.0,,hold_120_greed_80,120,80.0,11,6,5,3,0.5,0.05089857855940479,0.04234077528863062,30.539147135642875,-128.7045905342094,-98.16544339856651,2,0.25,0.375,-inf
core_ge_70,core,70.0,,hold_90_greed_off,90,,33,26,7,13,0.5,0.019899601008418238,0.0029171943808605216,51.73896262188742,-163.27501264088883,-111.53605001900141,3,0.1111111111111111,0.36664796061524685,-inf
core_ge_75,core,75.0,,hold_90_greed_70,90,70.0,6,4,2,2,0.5,0.008865254850873888,0.017373204401277986,3.5461019403495553,-54.212229733611665,-50.666127793262106,1,0.5,0.0,-inf
core_ge_75,core,75.0,,hold_120_greed_70,120,70.0,6,4,2,2,0.5,0.008865254850873888,0.017373204401277986,3.5461019403495553,-54.212229733611665,-50.666127793262106,1,0.5,0.0,-inf
recovery_peak_75_change_le_m2p5,recovery,75.0,-2.5,hold_20_greed_off,20,,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_0p0,recovery,75.0,0.0,hold_20_greed_off,20,,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_2p5,recovery,75.0,2.5,hold_20_greed_off,20,,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_m2p5,recovery,75.0,-2.5,hold_20_greed_70,20,70.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_0p0,recovery,75.0,0.0,hold_20_greed_70,20,70.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_2p5,recovery,75.0,2.5,hold_20_greed_70,20,70.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_m2p5,recovery,75.0,-2.5,hold_20_greed_80,20,80.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_0p0,recovery,75.0,0.0,hold_20_greed_80,20,80.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
recovery_peak_75_change_le_2p5,recovery,75.0,2.5,hold_20_greed_80,20,80.0,10,10,0,5,0.5,0.007422580343856178,0.017605649080180474,7.422580343856177,0.0,7.422580343856177,2,0.16666666666666666,0.4166666666666667,-inf
core_ge_75,core,75.0,,hold_60_greed_70,60,70.0,6,4,2,2,0.5,0.004749136999920661,0.011725703433153045,1.8996547999682645,-54.212229733611665,-52.3125749336434,1,0.5,0.0,-inf
