symbol,name,display_name,enabled,role,theme_group,mapping_notes,history_proxy_symbol,history_proxy_name,history_proxy_mode,category,sub_category,pool_role,source,note,rows,start,end,amount20,kept_reason,clean_pool
159930,能源ETF,能源ETF,True,industry,能源,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,周期资源/公用事业,能源,交易+研究,建议新增,,3100,2013-09-16,2026-06-29,153959963.75,未发现需要剔除的高相似ETF,True
515210,钢铁ETF,钢铁ETF,True,industry,钢铁,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,周期资源/公用事业,钢铁,交易+研究,当前保留,,1534,2020-03-02,2026-06-29,97378889.25,未发现需要剔除的高相似ETF,True
159902,中小板ETF,中小板ETF,True,broad,中小成长,创业板本地更优代理；corr=0.9080；clean_pool_v2,,,price_only,宽基/风格指数,中小成长,交易+研究,建议新增,替代创业板的本地更优成长风格代理，不是同指数等价替代,4001,2010-01-04,2026-06-29,,与创业板高相似且数据干净,True
510880,红利ETF,红利ETF,True,broad,红利,宽基/风格参考保留；clean_pool_20260702,,,price_only,宽基/风格指数,红利,交易+研究,当前保留,宽基或风格参考，不和行业ETF互斥,4723,2007-01-18,2026-06-29,814646220.7,宽基/风格参考保留,True
515790,光伏ETF,光伏ETF,True,industry,光伏,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,新能源/高端制造,光伏,交易+研究,建议新增,,1337,2020-12-18,2026-06-29,350490108.7,未发现需要剔除的高相似ETF,True
159870,化工ETF,化工ETF,True,industry,化工,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,新能源/高端制造,化工,交易+研究,当前保留,,1290,2021-03-03,2026-06-29,820949541.1,未发现需要剔除的高相似ETF,True
159663,机床ETF,机床ETF,True,industry,机床,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,新能源/高端制造,机床,交易+研究,建议新增,,890,2022-10-26,2026-06-29,127578963.7,未发现需要剔除的高相似ETF,True
159565,汽车零部件ETF,汽车零部件ETF,True,industry,汽车零部件,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,新能源/高端制造,汽车零部件,交易+研究,当前保留,,567,2024-02-26,2026-06-29,33796465.4,未发现需要剔除的高相似ETF,True
159755,电池ETF,电池ETF,True,industry,电池,相似组内保留代表；clean_pool_20260702,,,price_only,新能源/高端制造,电池,交易+研究,建议新增,,1214,2021-06-24,2026-06-29,679056665.2,相似组内保留代表,True
512980,传媒ETF,传媒ETF,True,industry,传媒,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,消费/农业/传媒,传媒,交易+研究,当前保留,,2044,2018-01-19,2026-06-29,200838934.5,未发现需要剔除的高相似ETF,True
159825,农业ETF,农业ETF,True,industry,农业,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,消费/农业/传媒,农业,交易+研究,当前保留,,1330,2020-12-29,2026-06-29,77062850.45,未发现需要剔除的高相似ETF,True
159996,家电ETF,家电ETF,True,industry,家电,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,消费/农业/传媒,家电,交易+研究,当前保留,,1524,2020-03-16,2026-06-29,82513369.55,未发现需要剔除的高相似ETF,True
159766,旅游ETF,旅游ETF,True,industry,旅游,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,消费/农业/传媒,旅游,交易+研究,建议新增,,1193,2021-07-23,2026-06-29,181484754.4,未发现需要剔除的高相似ETF,True
515170,食品饮料ETF,食品饮料ETF,True,industry,食品饮料,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,消费/农业/传媒,食品饮料,交易+研究,当前保留,,1320,2021-01-13,2026-06-29,78416855.55,未发现需要剔除的高相似ETF,True
159811,5G50ETF,5G50ETF,True,industry,5G通信,通信/5G clean replacement；corr(515880)=0.7090；clean_pool_v3,,,price_only,科技/TMT,5G通信,交易+研究,候补转正,通信/5G 主题干净代表，优于旧计算机代理,1500,2020-04-22,2026-07-01,,主题贴近且数据干净，和现有池不高重复,True
159813,半导体ETF鹏华,半导体ETF鹏华,True,industry,半导体,半导体本地更优替代；corr=0.8389；clean_pool_v2,,,price_only,科技/TMT,半导体,交易+研究,建议新增,替代原半导体ETF的同主题干净版本,1479,2020-05-25,2026-06-30,,半导体主题更贴近且数据干净,True
512720,计算机ETF,计算机ETF,True,industry,计算机,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,科技/TMT,计算机,交易+研究,建议新增,,1662,2019-08-16,2026-06-29,36970284.2,未发现需要剔除的高相似ETF,True
159768,房地产ETF,房地产ETF,True,industry,房地产,房地产 exact clean replacement；corr(512200)=0.2859；clean_pool_v3,,,price_only,金融/地产,房地产,交易+研究,候补转正,房地产主题干净代表，优于基建代理；原 512200 历史异常较多,1060,2022-02-16,2026-07-01,,主题直接对应且数据干净,True
512880,证券ETF,证券ETF,True,industry,证券,相似组内保留代表；clean_pool_20260702,,,price_only,金融/地产,证券,交易+研究,当前保留,,2399,2016-08-08,2026-06-29,2903143288.25,相似组内保留代表,True
159887,银行ETF,银行ETF,True,industry,银行,银行 exact clean replacement；corr(512800)=0.5835；clean_pool_v3,,,price_only,金融/地产,银行,交易+研究,候补转正,银行主题干净代表，优于红利风格代理,1240,2021-05-20,2026-07-01,,主题直接对应且数据干净,True
