source,symbol,exists,rows,start,end,duplicate_dates,invalid_rows,bad_ohlc,review_jumps,hard_jumps,passed,reason
S_staging,159813,True,1509,2020-05-25,2026-08-11,0,0,0,0,0,True,ok
S_staging,512720,True,1693,2019-08-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,159768,True,1089,2022-02-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,512880,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,159887,True,1269,2021-05-20,2026-08-11,0,0,0,0,0,True,ok
D_reference,159666,True,848,2023-02-13,2026-08-10,0,0,0,0,0,True,ok
D_reference,512660,True,2429,2016-08-08,2026-08-10,0,0,0,0,0,True,ok
D_reference,516970,True,1237,2021-07-05,2026-08-10,0,0,0,0,0,True,ok
D_reference,512950,True,1832,2019-01-18,2026-08-10,0,0,0,0,0,True,ok
D_reference,560080,True,927,2022-10-17,2026-08-10,0,0,0,0,0,True,ok
D_reference,159992,True,1536,2020-04-10,2026-08-10,0,0,0,0,0,True,ok
D_reference,159883,True,1279,2021-04-30,2026-08-10,0,0,0,0,0,True,ok
D_reference,516750,True,1155,2021-11-05,2026-08-10,0,0,0,0,0,True,ok
D_reference,512400,True,2168,2017-09-01,2026-08-10,0,0,0,0,0,True,ok
D_reference,159611,True,1111,2022-01-07,2026-08-10,0,0,0,0,0,True,ok
D_reference,159930,True,3130,2013-09-16,2026-08-10,0,0,0,0,0,True,ok
D_reference,515210,True,1564,2020-03-02,2026-08-10,0,0,0,0,0,True,ok
D_reference,159902,True,4031,2010-01-04,2026-08-10,0,0,0,0,0,True,ok
D_reference,510880,True,4753,2007-01-18,2026-08-10,0,0,0,0,0,True,ok
D_reference,515790,True,1367,2020-12-18,2026-08-10,0,0,0,0,0,True,ok
D_reference,159870,True,1320,2021-03-03,2026-08-10,0,0,0,0,0,True,ok
D_reference,159663,True,920,2022-10-26,2026-08-10,0,0,0,0,0,True,ok
D_reference,159565,True,597,2024-02-26,2026-08-10,0,0,0,0,0,True,ok
D_reference,159755,True,1244,2021-06-24,2026-08-10,0,0,0,0,0,True,ok
D_reference,512980,True,2074,2018-01-19,2026-08-10,0,0,0,0,0,True,ok
D_reference,159825,True,1360,2020-12-29,2026-08-10,0,0,0,0,0,True,ok
D_reference,159996,True,1554,2020-03-16,2026-08-10,0,0,0,0,0,True,ok
D_reference,159766,True,1223,2021-07-23,2026-08-10,0,0,0,0,0,True,ok
D_reference,515170,True,1350,2021-01-13,2026-08-10,0,0,0,0,0,True,ok
D_reference,159811,True,1528,2020-04-22,2026-08-10,0,0,0,0,0,True,ok
D_reference,159813,True,1508,2020-05-25,2026-08-10,0,0,0,0,0,True,ok
D_reference,512720,True,1692,2019-08-16,2026-08-10,0,0,0,0,0,True,ok
D_reference,159768,True,1088,2022-02-16,2026-08-10,0,0,0,0,0,True,ok
D_reference,512880,True,2429,2016-08-08,2026-08-10,0,0,0,0,0,True,ok
D_reference,159887,True,1268,2021-05-20,2026-08-10,0,0,0,0,0,True,ok
