symbol,overlap_returns,return_correlation,max_abs_return_difference,passed,selected_path,reference_path
159930,3129,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159930.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159930.csv
515210,1563,0.9999789229881139,0.0027043368328476536,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\515210.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\515210.csv
159902,4030,0.9999986842540097,0.0008830022075052568,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159902.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159902.csv
510880,4752,0.9999985801842968,0.0009342786609443099,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\510880.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\510880.csv
515790,1366,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\515790.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\515790.csv
159870,1319,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159870.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159870.csv
159663,919,0.9988231195625334,0.023883696780893082,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159663.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159663.csv
159565,596,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159565.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159565.csv
159755,1243,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159755.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159755.csv
512980,2073,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512980.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512980.csv
159825,1359,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159825.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159825.csv
159996,1553,0.9999999999999999,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159996.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159996.csv
159766,1222,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159766.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159766.csv
515170,1349,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\515170.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\515170.csv
159811,1527,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159811.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159811.csv
159813,1507,0.999959872391893,0.005714285714285783,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159813.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159813.csv
512720,1691,0.9999985406589572,0.0008729480975424586,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512720.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512720.csv
159768,1087,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159768.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159768.csv
512880,2428,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\512880.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\512880.csv
159887,1267,1.0,0.0,True,C:\Users\10619\Desktop\gsqh\C\raw\etf\159887.csv,C:\Users\10619\Desktop\gsqh\D\out\research_30_extrema_cleaned_v2\raw\159887.csv
