qvix_weight,entry_threshold,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year,selection_score
0.2,40,90,65.0,212,212,0,134,0.6320754716981132,0.03940976022772549,0.02787153076592086,835.4869168277805,0.0,835.4869168277805,3,0.0,0.32828694657022667,0.5294117647058824,-inf
0.2,35,90,65.0,236,236,0,153,0.6483050847457628,0.039760551480158876,0.026988026202749205,938.3490149317495,0.0,938.3490149317495,3,0.0,0.32709213967993134,0.5648854961832062,-inf
0.2,30,90,65.0,266,266,0,171,0.6428571428571429,0.03771065484469093,0.02578844795129187,1003.1034188687787,0.0,1003.1034188687787,3,0.0,0.3153272064345747,0.5755395683453237,-inf
0.2,70,60,75.0,5,5,0,3,0.6,0.007587792417189943,0.022241231822070162,3.7938962085949712,0.0,3.7938962085949712,1,0.6,0.0,,-inf
0.2,65,60,75.0,21,21,0,12,0.5714285714285714,0.0647989374377953,0.022241231822070162,136.07776861937012,0.0,136.07776861937012,1,0.5714285714285714,0.0,0.5714285714285714,-inf
0.2,60,60,75.0,36,36,0,20,0.5555555555555556,0.055511095948271416,0.020156760489348335,199.8399454137771,0.0,199.8399454137771,2,0.0,0.30303030303030304,0.6060606060606061,-inf
0.2,55,60,75.0,81,81,0,44,0.5432098765432098,0.03773837504233053,0.022241231822070162,305.6808378428773,0.0,305.6808378428773,3,0.0,0.3084106969193851,0.5238095238095238,-inf
0.2,50,60,75.0,134,134,0,73,0.5447761194029851,0.028574804014251158,0.017068273092369357,382.9023737909655,0.0,382.9023737909655,3,0.0,0.2788700815342807,0.5,-inf
0.2,45,60,75.0,175,175,0,100,0.5714285714285714,0.03228926017362457,0.022336769759450092,565.0620530384301,0.0,565.0620530384301,3,0.0,0.2866631195288493,0.5242718446601942,-inf
0.2,40,60,75.0,212,212,0,115,0.5424528301886793,0.02801785900402643,0.016064257028112205,593.9786108853604,0.0,593.9786108853604,3,0.0,0.2617129997882104,0.5294117647058824,-inf
0.2,60,90,75.0,36,36,0,23,0.6388888888888888,0.05362340050896472,0.02837317474685197,193.044241832273,0.0,193.044241832273,2,0.0,0.3484848484848485,0.696969696969697,-inf
0.2,55,90,75.0,81,81,0,51,0.6296296296296297,0.04222413628462143,0.03072033898305082,342.0155039054336,0.0,342.0155039054336,3,0.0,0.3249935126933166,0.6349206349206349,-inf
0.2,50,90,75.0,134,134,0,81,0.6044776119402985,0.031038768998838003,0.025121555915721183,415.9195045844292,0.0,415.9195045844292,3,0.0,0.2956439976521201,0.5975609756097561,-inf
0.2,45,90,75.0,175,175,0,107,0.6114285714285714,0.03371443624491657,0.03181336161187698,590.0026342860399,0.0,590.0026342860399,3,0.0,0.29827741589951773,0.5922330097087378,-inf
0.2,40,90,75.0,212,212,0,123,0.5801886792452831,0.02961780037400131,0.025121555915721183,627.8973679288277,0.0,627.8973679288277,3,0.0,0.2769196791675997,0.5777777777777777,-inf
0.2,35,90,75.0,236,236,0,139,0.5889830508474576,0.029279161694518205,0.021787031255274036,690.9882159906297,0.0,690.9882159906297,3,0.0,0.280500933991406,0.5686274509803921,-inf
0.0,60,90,75.0,113,113,0,70,0.6194690265486725,0.04614499677795233,0.021069692058346856,521.4384635908613,0.0,521.4384635908613,3,0.0,0.29994512177337784,0.6346153846153846,-inf
0.0,55,90,75.0,144,144,0,86,0.5972222222222222,0.04059390022695514,0.02105734240072643,584.552163268154,0.0,584.552163268154,3,0.0,0.28820222927231925,0.5945945945945946,-inf
0.0,50,90,75.0,180,180,0,105,0.5833333333333334,0.03982400707710717,0.018930568120431923,716.8321273879291,0.0,716.8321273879291,3,0.0,0.28003240661791656,0.5647058823529412,-inf
0.0,45,90,75.0,207,207,0,117,0.5652173913043478,0.037831674392192004,0.015490533562822817,783.1156599183745,0.0,783.1156599183745,3,0.0,0.2720364312380674,0.5208333333333334,-inf
0.0,40,90,75.0,229,229,0,130,0.5676855895196506,0.03875345726070663,0.015490533562822817,887.4541712701819,0.0,887.4541712701819,3,0.0,0.27472895826902677,0.5092592592592593,-inf
0.0,35,90,75.0,256,256,0,146,0.5703125,0.03859230700645527,0.01580978291044366,987.963059365255,0.0,987.963059365255,3,0.0,0.27606766219406276,0.5121951219512195,-inf
0.0,30,90,75.0,270,270,0,158,0.5851851851851851,0.04155271906247306,0.02105734240072643,1121.9234146867727,0.0,1121.9234146867727,3,0.0,0.2844803859504101,0.5196850393700787,-inf
0.0,70,90,70.0,24,24,0,19,0.7916666666666666,0.054010517480622244,0.02710312184152186,129.6252419534934,0.0,129.6252419534934,2,0.7777777777777778,0.011111111111111127,0.8,-inf
0.2,35,60,75.0,236,236,0,131,0.5550847457627118,0.032990530289696646,0.016064257028112205,778.5765148368408,0.0,778.5765148368408,3,0.0,0.2654129424939277,0.5572519083969466,-inf
0.2,30,60,75.0,266,266,0,144,0.5413533834586466,0.03106049088389093,0.012705754162285587,826.2090575114987,0.0,826.2090575114987,3,0.0,0.258130108596369,0.5467625899280576,-inf
0.2,70,60,70.0,5,5,0,3,0.6,0.007587792417189943,0.022241231822070162,3.7938962085949712,0.0,3.7938962085949712,1,0.6,0.0,,-inf
0.2,65,60,70.0,21,21,0,13,0.6190476190476191,0.07229213168118757,0.03090315560391743,151.81347653049392,0.0,151.81347653049392,1,0.6190476190476191,0.0,0.6190476190476191,-inf
0.2,60,60,70.0,36,36,0,22,0.6111111111111112,0.06343904788086428,0.020327414777890573,228.3805723711114,0.0,228.3805723711114,2,0.0,0.3333333333333333,0.6666666666666666,-inf
0.2,30,90,75.0,266,266,0,152,0.5714285714285714,0.02705961563363595,0.017657255644417558,719.7857758547162,0.0,719.7857758547162,3,0.0,0.27265260761951576,0.5483870967741935,-inf
0.2,70,90,70.0,5,5,0,4,0.8,0.014228178828016191,0.021044992743106006,7.114089414008095,0.0,7.114089414008095,1,0.8,0.0,,-inf
0.2,65,90,70.0,21,21,0,14,0.6666666666666666,0.06366672565901857,0.022529069767442067,133.700123883939,0.0,133.700123883939,1,0.6666666666666666,0.0,0.6666666666666666,-inf
0.2,60,90,70.0,36,36,0,23,0.6388888888888888,0.055377668208332724,0.021787031255274036,199.3596055499978,0.0,199.3596055499978,2,0.0,0.3484848484848485,0.696969696969697,-inf
0.3,70,60,65.0,4,4,0,2,0.5,0.0004240743172439776,0.00807881123430898,0.16962972689759104,0.0,0.16962972689759104,1,0.5,0.0,,-inf
0.3,65,60,65.0,18,18,0,10,0.5555555555555556,0.06794082907185242,0.023960659436606413,122.29349232933436,0.0,122.29349232933436,2,0.0,0.3125,0.625,-inf
0.3,60,60,65.0,29,29,0,15,0.5172413793103449,0.06409762077147592,0.022241231822070162,185.88310023728016,0.0,185.88310023728016,2,0.0,0.28846153846153844,0.5769230769230769,-inf
0.3,55,60,65.0,55,55,0,26,0.4727272727272727,0.04397770744980417,-0.015047021943573657,241.87739097392296,0.0,241.87739097392296,2,0.0,0.25,0.5,-inf
0.3,50,60,65.0,91,91,0,46,0.5054945054945055,0.03913138646058489,0.004672897196261738,356.09561679132247,0.0,356.09561679132247,3,0.0,0.3213454253043713,0.4936708860759494,-inf
0.3,45,60,65.0,149,149,0,88,0.5906040268456376,0.04163508788219512,0.022955523672883782,620.3628094447073,0.0,620.3628094447073,3,0.0,0.3334755558863036,0.5050505050505051,-inf
0.3,40,60,65.0,194,194,0,118,0.6082474226804123,0.04174725946499667,0.02663230240549841,809.8968336209352,0.0,809.8968336209352,3,0.0,0.31709577834364927,0.5299145299145299,-inf
0.3,35,60,65.0,229,229,0,139,0.6069868995633187,0.03792938754352933,0.01866151866151866,868.5829747468215,0.0,868.5829747468215,3,0.0,0.29944691718000466,0.5639097744360902,-inf
0.3,30,60,65.0,251,251,0,150,0.5976095617529881,0.03481994034432299,0.015007898894154659,873.9805026425071,0.0,873.9805026425071,3,0.0,0.290803041170543,0.5611510791366906,-inf
0.2,70,90,75.0,5,5,0,4,0.8,0.014228178828016191,0.021044992743106006,7.114089414008095,0.0,7.114089414008095,1,0.8,0.0,,-inf
