period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
all,0.2,40,90,70.0,1,fear,10000.0,15385.499999999993,5385.499999999993,0.5385499999999992,0.08060323820932647,13,13,0.6153846153846154,0.03871929030630366,0,15385.499999999993,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,90,70.0,1,fear,10000.0,12773.599999999997,2773.5999999999967,0.2773599999999996,0.17015711610719575,3,3,1.0,0.08798741876990573,0,12773.599999999997,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,40,90,75.0,1,fear,10000.0,15638.0,5638.0,0.5638000000000001,0.08377285518800126,12,12,0.5833333333333334,0.0432931166849888,0,15638.0,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,40,90,75.0,1,fear,10000.0,13194.899999999998,3194.899999999998,0.31948999999999983,0.19478719915753384,3,3,0.6666666666666666,0.10134369259985702,0,13194.899999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,60,65.0,1,fear,10000.0,10881.900000000005,881.9000000000051,0.08819000000000043,0.015345652490538875,13,12,0.5,0.02271227171965726,1,67.70000000000437,10814.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,45,60,65.0,1,fear,10000.0,9715.200000000003,-284.79999999999745,-0.028479999999999728,-0.0183762008140943,4,3,0.6666666666666666,0.034312481588432496,1,115.40000000000146,9599.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,60,70.0,1,fear,10000.0,12315.899999999996,2315.899999999996,0.23158999999999952,0.03824850308990846,11,10,0.6,0.039136964148044,1,66.49999999999454,12249.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,45,60,70.0,1,fear,10000.0,10155.2,155.20000000000073,0.015519999999999978,0.009935040262860406,4,3,1.0,0.049494059309857875,1,3.399999999999636,10151.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,60,75.0,1,fear,10000.0,12404.900000000005,2404.900000000005,0.24049000000000054,0.039596469029959724,11,10,0.6,0.03994401098955324,1,45.100000000004,12359.800000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,45,60,75.0,1,fear,10000.0,10706.2,706.2000000000007,0.07062000000000013,0.04477650124524413,4,3,0.6666666666666666,0.06943163840286383,1,2.399999999999636,10703.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,90,65.0,1,fear,10000.0,10551.700000000003,551.7000000000025,0.05517000000000016,0.009723643213391142,12,11,0.45454545454545453,0.02178124683557381,1,68.70000000000255,10483.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,45,90,65.0,1,fear,10000.0,9715.200000000003,-284.79999999999745,-0.028479999999999728,-0.0183762008140943,4,3,0.6666666666666666,0.034312481588432496,1,115.40000000000146,9599.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,90,70.0,1,fear,10000.0,14746.799999999996,4746.799999999996,0.47467999999999955,0.07250187506044181,10,10,0.5,0.04559850557545605,0,14746.799999999996,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,45,90,70.0,1,fear,10000.0,12773.599999999997,2773.5999999999967,0.2773599999999996,0.17015711610719575,3,3,1.0,0.08798741876990573,0,12773.599999999997,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,45,90,75.0,1,fear,10000.0,14451.900000000001,4451.9000000000015,0.4451900000000002,0.06860514433719755,10,10,0.5,0.04382952183886214,0,14451.900000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
