source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,entry_year,source_type,win,ret_pct,holding_calendar_days,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,decision_date,mom20,mom60,mom120,vol20,amount20,history,dist,score,ret_raw
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-03-31,2016-04-15,0.0266222961730449,2642.141095515469,2712.480958291255,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,2.6622,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0266222961730449
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-04-19,2016-05-04,-0.008994276369583054,2712.480958291255,2688.084154905152,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,False,-0.8994,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008994276369583
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-05-06,2016-05-20,-0.033698399326032025,2688.084154905152,2597.5000216311787,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,False,-3.3698,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033698399326032
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-06-01,2016-06-17,-0.015605229860818137,2597.5000216311787,2556.965436730144,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,False,-1.5605,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0156052298608181
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-07-04,2016-07-18,0.036499377851513914,2556.965436730144,2650.293084358619,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,3.6499,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0364993778515139
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-07-20,2016-08-03,0.008849557522123908,2650.293084358619,2673.747005459138,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,0.885,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088495575221239
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-08-05,2016-08-19,0.04801587301587307,2673.747005459138,2802.129302149835,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,4.8016,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048015873015873
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-08-23,2016-09-06,0.0019040365575018203,2802.129302149835,2807.4646587799753,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,0.1904,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019040365575018
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-09-08,2016-09-26,-0.03033750474023511,2807.4646587799753,2722.2931863861954,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,False,-3.0338,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0303375047402351
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-09-28,2016-10-19,0.02940023520188162,2722.2931863861954,2802.3292463544294,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,2.94,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0294002352018816
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-10-21,2016-11-04,0.003783579265985715,2802.3292463544294,2812.9320811874013,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,0.3784,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037835792659857
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-11-08,2016-11-22,0.030631303698169576,2812.9320811874013,2899.0958580485767,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,3.0631,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0306313036981695
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2016-11-24,2016-12-05,0.0007220216606498298,2899.0958580485767,2901.189068054388,red_ma_idle20_hold10_ma60_mom20,2016.0,空仓补偿,True,0.0722,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007220216606498
主策略,宽基/风格指数,159902,中小板ETF,2016-12-06,2017-02-08,-0.06393897619502842,2901.189068054388,2715.6900092947817,,2016.0,主策略,False,-6.3939,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0639389761950284
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-02-17,2017-03-03,0.004816598740274403,2715.6900092947817,2728.770398372527,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.4817,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048165987402744
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-03-07,2017-03-21,0.0066225165562914245,2728.770398372527,2746.841725514067,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.6623,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066225165562914
