policy,year,line,q,threshold,train_n,train_win,train_avg,train_sum,train_annual_count,test_candidates,test_kept
win_tradefloor,2025,D,0.75,71.45498337406927,364,0.6758241758241759,0.050014298038531496,18.205204486025465,60.666666666666664,243,21
win_tradefloor,2026,C,0.75,0.8,485,0.5690721649484536,0.023179258262745434,11.241940257431535,69.28571428571429,144,41
win_tradefloor,2026,S,0.75,0.9066666666666666,182,0.5164835164835165,0.018380905536647254,3.3453248076698,60.666666666666664,144,29
win_tradefloor,2026,D,0.75,70.64353187463153,425,0.6658823529411765,0.047279389029735545,20.093740337637605,60.714285714285715,143,92
stable_profit,2021,C,0.0,0.0,487,0.6529774127310062,0.04077021129183234,19.855092899122347,243.5,243,243
stable_profit,2021,D,0.0,29.463931405895693,487,0.6570841889117043,0.0364081641008306,17.730775917104502,243.5,243,243
stable_profit,2022,C,0.0,0.0,730,0.6602739726027397,0.0445891351553821,32.55006866342893,243.33333333333334,242,242
stable_profit,2022,D,0.0,29.463931405895693,730,0.6465753424657534,0.03716607887447005,27.131237578363137,243.33333333333334,242,242
stable_profit,2023,C,0.0,0.0,972,0.5997942386831275,0.029360875947778368,28.538771421240572,243.0,242,242
stable_profit,2023,D,0.0,29.463931405895693,972,0.6162551440329218,0.03112198989603661,30.250574178947584,243.0,242,242
stable_profit,2024,C,0.0,0.0,1214,0.514827018121911,0.01386603462827634,16.833366038727476,242.8,242,242
stable_profit,2024,S,0.25,0.837215909090909,180,0.4722222222222222,0.003068697518568875,0.5523655533423975,180.0,242,190
stable_profit,2024,D,0.0,29.463931405895693,1214,0.5971993410214168,0.026192658543527453,31.797887471842326,242.8,242,242
stable_profit,2025,C,0.9,1.0,208,0.5769230769230769,0.04130467869164773,8.591373167862727,34.666666666666664,243,14
stable_profit,2025,S,0.8,0.9114285714285716,99,0.48484848484848486,0.006013646751869627,0.5953510284350931,49.5,243,38
stable_profit,2025,D,0.0,29.463931405895693,1456,0.6092032967032966,0.03190124237831889,46.448208902832306,242.66666666666666,243,237
stable_profit,2026,C,0.0,0.0,1699,0.5485579752795762,0.018296851165611392,31.086350130373752,242.71428571428572,144,144
stable_profit,2026,S,0.6,0.8937672413793103,290,0.5,0.023337279732659224,6.767811122471175,96.66666666666667,144,54
stable_profit,2026,D,0.0,25.83097127739985,1699,0.607416127133608,0.029551378235945745,50.207791622871824,242.71428571428572,143,143
