variant,window,combo,trades,final,total_ret,ann,win,avg_trade,max_drawdown_trade_curve
fixed_high_score,past_2y,S,22,13891.504370139008,0.38915043701390073,0.18090489577722502,0.6363636363636364,0.01955674054313898,-0.23653754029418406
fixed_high_score,past_2y,D,6,15790.384201020268,0.5790384201020269,0.27902043042213776,0.6666666666666666,0.08169723993647796,-0.008547008547008406
fixed_high_score,past_2y,C+S,15,8458.700775068564,-0.1541299224931436,-0.08195522375327169,0.6,-0.00878430149407428,-0.2627863272347565
fixed_high_score,past_2y,C+D,6,12047.218497499633,0.20472184974996321,0.10521535562562168,0.5,0.03271100814189553,-0.017738359201773912
fixed_high_score,past_2y,S+D,13,10119.241189378306,0.011924118937830741,0.006014584062032702,0.6153846153846154,0.005950850539317721,-0.33610421893165476
fixed_high_score,past_2y,C+S+D,13,7720.439736321398,-0.22795602636786017,-0.12235951378610055,0.5384615384615384,-0.01665817951972032,-0.33610421893165476
fixed_high_score,past_1y,C,3,8716.131137165476,-0.1283868862834524,-0.1818875399442078,0.3333333333333333,-0.042144424608263197,-0.1548495235120383
fixed_high_score,past_1y,S,10,12550.849894308956,0.2550849894308955,0.27017253246116835,0.5,0.03229850298670111,-0.23653754029418406
fixed_high_score,past_1y,D,3,11665.745848292196,0.1665745848292195,0.25587535031850583,0.3333333333333333,0.0560863570682058,-0.008547008547008628
fixed_high_score,past_1y,C+S,6,7708.282310808253,-0.22917176891917468,-0.2451789768618592,0.5,-0.0385160772188901,-0.26278632723475637
fixed_high_score,past_1y,C+D,3,10214.911246955535,0.021491124695553587,0.03194277429000936,0.3333333333333333,0.007260287294230801,-0.008547008547008628
fixed_high_score,past_1y,S+D,6,7859.848590731967,-0.2140151409268033,-0.2239072454292439,0.3333333333333333,-0.03168674622389103,-0.33610421893165476
fixed_high_score,past_1y,C+S+D,6,6882.342270519229,-0.31176577294807717,-0.3251578141948046,0.3333333333333333,-0.05609978111087854,-0.33610421893165476
